Timestamp,Name of your College ,Age in years (please enter only a number/integer),Which district is your hometown located in?,PINCODE of your home address,Approx. Distance of your home from IIT Bhilai (in Kms). Enter only a number (floating point).,Approx. Time to reach IIT Bhilai from your hometown (in hours). Enter only a number (floating point) ,Did you appear in JEE?,"How comfortable are you with math of data science fundamentals: Linear algebra, Optimization, Statistics, Probability?",How comfortable are you with coding in Python?,What is your career goal?,What do you expect to learn from this workshop?,"What applications of data science are you most interested in? Give examples from your daily life, or things that impact you most...or where you can make an impact."
07-12-2025 20:50,Rungta college of engineering and technology ,20,Easy Singhbhum ,831011,510,10,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","I aim to become a data scientist or AI engineer, working on real-world problems using machine learning and data analytics, especially in fields like healthcare, education, and public safety.","I expect to gain a strong foundational understanding of data science concepts, including data preprocessing, visualization, basic machine learning techniques, and how to apply them to solve practical problems using Python","I'm particularly interested in applications like healthcare analytics (predicting diseases from health records), posture detection systems using computer vision, and urban data analysis (like predicting traffic or public demand). I?m also interested in using data to solve social issues in local communities such as education outreach, job allocation for daily workers, and public feedback systems."
07-12-2025 21:08,Rungta collage R1,20,Durg,490006,13,34 min,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Software engineer,Practical skills,Video game
07-12-2025 21:10,Rungta college of engineering and technology ,20,Durg ,490026,15,45 min ,Never appeared in JEE,Maths itself is not my thing. I prefer visual thinking.,"Intermediate: Some familiarity, made 1-2 projects",Software engineer ,Data science ," Using AI to help farmers detect crop diseases early from photos, so they can save their harvest and earn more.  Why? It directly improves rural livelihoods and food security ? simple tech, big impact!"
07-12-2025 21:16,Rungta College of Engineering and Technology R1 Bhilai ,20,Durg,490024,15,0.75,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects, Coding is not my thing. I am a math lover...",Software Engineer ,,
07-12-2025 21:18,Chattisgarh swami vivekanand technical university ,20,Guntur ,522647,7kms,45 min ,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Software ,,
07-12-2025 21:20,Rungta college of engineering and technology Bhilai,21,Durg,490006,14,0.4,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",I want to become an full stack developer,"I hope to gain a deeper understanding of how data science can be applied to solve real-world problems using practical tools and methods.  I want to learn how to Collect and clean data efficiently, use statistical analysis and machine learning to uncover patterns, Visualize data in meaningful ways, Make data-driven decisions",I'm especially interested in applications of data science that have a direct social or personal impact like healthcare with Predictive analytics for early disease detection and Education with  Personalized learning systems that adapt based on student performance data  
07-12-2025 21:21,"Rungta College Of Engineering And Technology ,Bhilai",21,East Singhbhum,831012,616,14,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Ai Engineer,I want to gain knowledge ,
07-12-2025 21:27,"Rungta College of Engineering and Technology, Bhilai",19,"Dantewada, Chhattisgarh",494449,347,7.5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","My career goal is to become a skilled professional who bridges the gap between data engineering and cloud infrastructure. I'm really interested in how data is collected, processed, and used to make decisions?and how cloud platforms can make this process more scalable and efficient. I aim to design and build efficient, scalable data pipelines and platforms using modern cloud technologies.  I'm currently building my skills in areas like databases, and cloud platforms like AWS or Azure. In the long run, I want to work on designing systems that handle large volumes of data on the cloud and help businesses use that data effectively. Also,I want to contribute to organizations by ensuring that their data systems are robust, secure, and highly available in the cloud.","From this workshop, I?m hoping to gain a deeper understanding of how data science is applied in real-world scenarios. I want to learn how to work with large datasets, understand different techniques in data preprocessing, analysis, and visualization, and also get some hands-on experience with tools commonly used in the industry.","One of the most interesting applications of data science to me is how it can be used to improve small businesses through data-driven decision-making. For example, I?m building my brother's electronics service website, and I see huge potential for using data science to analyze customer behavior, predict common device issues, manage service requests more efficiently, and even personalize services. Imagine if we could use past repair data to predict what kinds of devices are likely to need service next, or automatically suggest solutions based on patterns. This kind of insight can help a small repair shop grow and operate like a smart, scalable business. That?s where I feel I can make an impact?by combining data engineering and cloud technologies to bring these kinds of tools to small businesses."
07-12-2025 21:39,Rungta College Of Engineering and Technology,19,Bhilai,,,,,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Web developer,Strong fundamentals of data science,Education and personalized learning
07-12-2025 21:44,Chhattisgarh Swami Vivekanand University,21,Nalanda ,803116,1100,24,Qualified JEE Advanced,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Ai and ml expert ,Gain experience and learn something new in technology,Project using Ai and Ml 
07-12-2025 21:52,Chhattisgarh swami vivekananda technical university bhilai ,20,Durg,490006,13km,30 minutes ,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects", My career goal is to become a skilled web developer. I want to build smart and interactive web applications. Learning the basics of Machine Learning will help me add intelligence to my websites in the future.,I would hope that we are taught well and our skills are enhanced ,
07-12-2025 21:54,Rungta College of Engineering and Technology (R1)Bhilai,21,Lohardaga,835213,587,13,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","Data Scientist,DBA","I have not learnt all the tools for data analysis, so i would prefer all overview of those and how can we integrate AI to do our work more efficiently in this field.","Trading ,Traffic Optimization , Personalized Ads"
07-12-2025 21:58,Chhattisgarh Swami Vivekananda Technical University Bhilai,21,Bhilai,490006,13,1,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","My career goal is to become a software developer, contributing to solving real-world problems through data-driven solutions and innovative technologies.","I hope to gain practical insights into data science, including data preprocessing, analysis, visualization, and real-time project experience. I also want to strengthen my understanding of Python and how it is used in data-related tasks.

","I am most interested in the application of data science in healthcare, education, and environmental monitoring. In healthcare, data science can help predict disease outbreaks, improve diagnosis accuracy, and optimize hospital resource allocation. In education, it can personalize learning based on student performance, which I?ve seen in online learning platforms. Personally, I?m also interested in using data to solve local problems?like analyzing rainfall and crop data to support farmers in my district. I believe I can make an impact by using data science to improve lives in rural areas through smart, data-driven decisions."
07-12-2025 22:01,"University teaching department, CSVTU Bhilai C.G.",19,"Risali,bhilai",490001,13,30 mint,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Become a data scientist ,,
07-12-2025 22:03,JB Institute of Technology ,21,Amroha ,244222,1170,28,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Data Scientist,I am expecting to learn Data analysis & visualization so that I can apply it to solve Real world problems.,"I'm most interested in data science for:  Healthcare (early disease prediction),  Education (personalized learning),  Jobs (resume & role matching),  Content (social media growth),  Finance (smart budgeting).   These directly impact my daily life and future goals."
07-12-2025 22:03,JB institute of Technology ,20,Varanasi,221204,800,18,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data analyst ,Upgrade skill,Bussiness 
07-12-2025 22:17,JB institute of technology ,19,Udham Singh Nagar ,263151,1081,32,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",AI Engineer ,I'm expecting to learn data analytics and visualization so that I can say that I'm proficient in data analytics and visualization...,I'm most interested in applying data science to climate change (like CO? trend analysis) and public health (predicting disease outbreaks). These areas impact lives directly and offer a chance to make meaningful contributions.
07-12-2025 22:24,Rungta college ,20,BUXAR,490023,5,0.5,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",To become a proficient Web Developer and AI Engineer. ,To get some ideas and knowledge about How  Ai works ,
07-12-2025 22:50,"Chhattisgarh Swami Vivekananda Technical University , Bhilai ",21,Durg,490006,13,0.8,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","My goal is to become a Machine Learning Engineer or Data Scientist. I want to build real-world AI solutions in fields like healthcare, climate science, and space-tech that have high societal impact, stock market.","I expect to gain hands-on experience in core data science and AI concepts. I hope to strengthen my understanding of how data is processed, visualized, and modeled. I also want to understand the project lifecycle of AI solutions ? from problem formulation to deployment.",
07-12-2025 22:51,Rcet,21,Durg,490023,10,1,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,Job in FAANG,Learning something interesting ,Statistics 
07-12-2025 22:58,RCET,21,Durg,,10km,15m,Never appeared in JEE,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Software engineer,Skill,
07-12-2025 23:09,Rcet ,20,Madhubani ,847235,6km,09:30,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Hacking ,To gain knowledge ,
07-12-2025 23:09,"RCET, Bhilai",20,Bokaro Steel City,827013,800,16,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To get into Data science and AIML industry,,
07-12-2025 23:23,Christian college of engineering and technology ,20,"Bhilai, durg, Chhattisgarh ",490006,9.5km,30-40 min ,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Ai engineer ,"""I expect to gain practical insights into real-world data science workflows, strengthen my understanding of machine learning techniques, and learn how to apply them effectively.","""I'm most interested in the applications of data science in AI-driven personalization, predictive analytics, and generative models. For example, I find it fascinating how platforms like YouTube or Spotify use data science to recommend content tailored to users."
07-12-2025 23:56,University Teaching Department ,19,Rajnandgaon ,491661,13km,1 hr,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To become a software engineer ,I expect to learn some real world practical knowledge through this workshop to improve my skills.,"Healthcare, fraud detection"
7-13-2025 0:10:40,"RCET, Bhilai",22,saran,841211,1050,30,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects, Intermediate: Some familiarity, made 1-2 projects","My career goal is to become a highly skilled and innovative professional in the field of technology, contributing to impactful projects that solve real-world problems and drive positive change through advanced solutions and continuous learning.","I expect to gain a deeper understanding of data science fundamentals, practical skills in analyzing and modeling data, and how to apply machine learning techniques to real-world problems. I also hope to learn about tools, workflows, and industry practices that will help me become project-ready in this field.","I am most interested in applications of data science in healthcare, education, and environmental sustainability. For example, using data to predict disease outbreaks, personalize learning experiences for students, or optimize resource usage for environmental protection. I want to apply data science to build meaningful, real-world solutions that benefit society."
7-13-2025 0:12:30,Rungta college of engineering and Technology echnology Bhilai Chhattisgarh ,20,PATNA,803202,4KM ,,Qualified JEE Mains,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Data scientist ,To much knowledge in Data science ,"like ,work to real life data and analysis, modeling, forecasting and all"
7-13-2025 0:21:39,"Government Engineering College, Raipur",21,Durg,491001,12,0.5,Appeared but didn't Qualify,"Proficient: can solve problems, model data mathematically","Proficient: Used numpy, pandas, sklearn and made my own projects",Researcher or Professor of Mathematics and Computer Science,Data Science In-Depth Fundamentals and its real-time applications,"I am a Mathematics Lover and interested to know how Data Science uses Mathematics such as Graph Theory for Traffic Management or Statistics and Probability in Manufacturing, Finance, Calculus in Optimization, etc"
7-13-2025 0:36:53,Rungta College of Engineering and Technology R1 ,21,"Dhanbad, Jharkhand ",828119,5.0 km,0.5 hr,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects","My career goal is to continuously develop my skills and contribute to innovative projects, and eventually take on leadership responsibilities where I can help guide teams and drive impactful results.",I expect to learn new practical skills and gain deeper insights into Data Science.,"I am most interested in data science applications that improve everyday decision-making and efficiency. For example, I find recommendation systems in online shopping and streaming services very useful, as they help me discover products and content tailored to my preferences."
7-13-2025 0:40:42,Government engineering college Raipur,23,Raigarh,496001,270,6,Qualified JEE Mains,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Full stack ai engineer,Data science and machine learning experience,Prediction model of data science and data driven decision helping in building ai tools which are really impacting every major field
7-13-2025 0:56:14,"Government Engineering College, Raipur ",20,Durg,490024,8,0.5,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,To be a SDE at good Company ,To explore the field of Data Science ,In the field of education and making a better thing for peoples.
7-13-2025 0:56:28,"Government Engineering College, Raipur",21,Raigarh,496001,280,6.5,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects","Currently my goal is to have a good foundation in Data Science, I'll keep learning and exploring till I find an area that suits me the best.","It's going to be a hands-on session, so much to learn...",
7-13-2025 6:01:17,Government Engineering College Raipur,21,Durg,491001,3,1,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Higher studies,,
7-13-2025 10:04:37,Shri Shankaracharya Technical Campus Bhilai ,20,Durg,490023,6,,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,Achieving a good job with high salary package ,,
7-13-2025 10:11:35,Shri Shankaracharya Technical Campus Bhilai CG,19,Durg,490009,10,0.33,Appeared but didn't Qualify,"Proficient: can solve problems, model data mathematically",Never done coding in python. Done coding in other languages,Job/Teaching ,Want to gain Knowledge ,"Application is Data structure means how data is stored and algorithms. Example: How all technical devices are work, at the back end all is data structure."
7-13-2025 10:13:26,"Government Engineering College, Raipur ",21,Durg,490023,7,0.15,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",I want to become a data scientist ,Data science and machine learning ,I am interested in artificial intelligence and machine learning. I want to how the AI models like chatgpt works.
7-13-2025 10:13:29,"Shri Shankaracharya technical campus, junwani, bhilai",20,Raipur,492013,50,2,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Start my own startup ,I want to grab this opportunity to learn about my field and get some proper guidance for my future ,Like how banking system keep many people's data and manage to handle everything smoothly and very fast
7-13-2025 10:14:04,SSTC BHILAI,21,BHILAI,490020,6 KM,20 MINUTES ,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",AAP DEVELOPER ,"Enhance my problem-solving or technical skills through hands-on activities or interactive sessions.

",
7-13-2025 10:17:21,Shri shankaracharya Technical Campus Bhilai ,20,Durg,491001,10,1,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Becom an Entrepreneur ,Deap knowledge in Data science,Wearables (like smartwatches) use data science to detect irregular heartbeats or oxygen levels.YouTube recommending videos based on your watch history.  Amazon suggesting items you're likely to buy.
7-13-2025 10:18:53,Shri Shankaracharya technical campus ,19,Durg,490026,8.6,0.3,,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data scientist ,"Data Visualization Techniques,
Real-World Data Handling etc","Healthcare,etc"
7-13-2025 10:28:42,ccet ,20,Bhilai ,490024,9km,40min ,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Gen ai developer ,Everything or anything ,Training model and development of new ai 
7-13-2025 10:31:32,CHRISTIAN COLLEGE OF TECHNOLOGY AND ENGINEERING ,21,Surguja ,490026,7,20,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Machine learning engineer ,"Basics of data cleaning, preprocessing, visualization and model training ",I can use it to understand mathematics more clear with implementation and with visualization 
7-13-2025 10:34:33,SHRI SHANKARACHARYA TECHNICAL CAMPUS JUNWANI BHILAI,19,Durg,490006,9.6,0.4,,"Proficient: can solve problems, model data mathematically","Intermediate: Some familiarity, made 1-2 projects",Data analyst ,A great experience and good/advance python knowledge different libraries different methods etc and data science ,Airlines industry 
7-13-2025 10:36:34,Shri Shankaracharya Technical Campus ,21,Durg,490021,20,0.5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",My career goal is to become a data scientist who uses data to drive smart decisions in high-performance environments like sports and technology.,Expect to learn how to apply data science techniques to real-world problems and gain hands-on experience with tools that can turn raw data into actionable insights.,"I'm most interested in how data science is used in Formula 1?one of the most advanced data-driven sports in the world. As a huge F1 fan, I?ve seen firsthand how teams and drivers rely heavily on data to gain a competitive edge."
7-13-2025 10:37:11,"Shri Shankaracharya Technical Campus, Bhilai",21,Sarangarh,496445,240,7,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data Scientist,In hand experience with real concepts and projects. To enrich my understanding about data and data science. Share the thoughts to prominent minds.,"Analyzing and setting models on a data set. Data today is the most reliable, detailed and important source of information. Every thing can be predicted with the help of data with some best models. From managing a grocery store stock to guess the stock market."
7-13-2025 10:39:41,JB INSTITUTE OF TECHNOLOGY,22,AMROHA,244222,1740,28,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",SOFTWARE ENGINEER,I AM EXPECTING TO LEARN THE DATA SCIENCE SO THAT I CAN APPLY IN REAL TIME BUSSINESS APPLICATION DEVELOPMENT.,"As a developer, I'm currently exploring how data science can enhance the way I build applications. I'm especially interested in how data-driven features ? like recommendation engines, user behavior analysis, or predictive search ? can make apps more intelligent and useful. I'm here to explore the fundamentals and see how I can integrate data science in future development projects. This workshop gives me a great opportunity to explore it practically."
7-13-2025 10:42:07,Rungta college of engineering and technology ,20-06-2005,Durg,490023,15kms,20 mins,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,Software engineer ,Expecting new things that I haven't learnt ,Using AI
7-13-2025 10:43:29,Christian college of engineering and technology ,19,Bhilai,490023,,,Never appeared in JEE,Maths itself is not my thing. I prefer visual thinking.,"Intermediate: Some familiarity, made 1-2 projects",To become a pilot,Programming languages,Anaconda 
7-13-2025 10:44:35,"Shri Shankaracharya Technical Campus, Bhilai ",19,Bilaspur ,495006,5.6,0.4,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",To be a data scientist ,To gain clear concept of things in this field and making my coding part strong.I want to have practical knowledge about the concepts learnt.,"Mostly I wondered about its application in healthcare and how they're used in disease prediction,its use in e-commerce etc "
7-13-2025 10:52:31,Shri Shankaracharya technical campus (SSTC),19,Durg,490009,8.9km,0.367,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,To complete my btech course then finding a relevant job and excel in the field of data science ,"Python programming language and use of numpy dataframes , use of jupyter in anaconda and many more concepts","I?m most interested in the applications of data science in gaming and social media, since these are a big part of my daily life and also areas where I believe I can make a difference."
7-13-2025 10:59:34,Shri shankaracharya technical campus,20,Durg,490020,6,0.25,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",Job (Data Engineer),All about data and ml,Analysing of data to take statistical decisions on trading and other things
7-13-2025 11:02:09,SSTC,19,Bastar,494001,6 kms,1,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Want a job in MNC ,I expect to learn data analysis techniques ,"As I am crazy about cars, My field of interest is in transport field like driverless cars. With the help of driveless cars it is easy to reduce the number of accidents."
7-13-2025 11:03:19,Shri shankaracharya technical campus bhilai ,19,Bastar,494001,6 km,1,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Want to qualify job in google,Apply data driven decision making in my work or personal project,"Data science in sports revolutionizes training, competition, and fan engagement through advanced analytics and technologies like wearables, computer vision, and AI. This leads to enhanced player performance, injury prevention and improved game strateg"
7-13-2025 11:04:22,Shri Shankaracharya Technical Campus ,20,Durg,490006,12km,0.5 hours,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",I want to work as a data scientist in one of the most prestigious company ,"As this is a Data science skilling workshop, I have learned python but never worked on something bring
I want to learn how this skill is used in real world while solving real problems.
I want to properly learn the approach for solving a problem solve ",I am interested in transportation and logistics 
7-13-2025 11:10:42,Shri shankaracharya technical campus ,19,Raipur ,493123,10km,0.5 hours,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,To be an Data scientist ,To explore the new technology & handel the real life projects further .,"I'm most interested in the applications of data science in agriculture and rural development especially because I come from a village background where many people depend on farming. I believe data science can help farmers make better decisions through weather prediction, soil analysis, and crop disease detection. Data science can make impact In optmizing the routes in Raipur city which make people convenient.  "
7-13-2025 11:20:10,"RCET , BHILAI ",20,Raigarh ,496001,289,6,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To become a skilled AI Engineer,,
7-13-2025 11:28:04,Rungta college of engineering and technology bhilai ,19,Raigarh ,496005,7 km ,30 minutes ,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Software developer,To improve my skill and experience ,"Heath care , education , environment and safety "
7-13-2025 11:35:37,Christian College of engineering and technology ,20,Durg,490023,8,1/2 hours,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Python developer ,Experience ,It can find how students learn best. I want to make learning apps smarter for every student.
7-13-2025 11:40:26,Shri Shankaracharya Technical Campus ,20,Durg ,490006,14 kms,30 mins,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Leverage data to solve real-world problems and Analyzing complex datasets,"New Knowledge and Practical Skills, opportunities for networking ",
7-13-2025 12:06:00,"Shri Shankaracharya technical campus, Bhilai",20,Durg,491001,8.0 Kms,0.37,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,"My goal is to become a skilled data scientist who builds smart, personalized systems  like better recommendation engines, healthcare insights, or creative visualizations. I also want to blend tech with art by using data to tell stories that connect with people.","I expect to gain hands-on experience with real-world data analysis and visualization tools. I want to learn how to clean, process, and extract insights from raw data using Python libraries like Pandas, Matplotlib, and Seaborn. I?m also excited to explore advanced concepts like interactive dashboards, machine learning, and time-series forecasting. Most importantly, I hope to improve my problem solving skills and become more confident in applying data science techniques in practical situations.","I?m most interested in applications that make everyday experiences smarter and more personalized  like recommendation systems, health tracking, and education tech. I?d love to work on models that actually understand user behavior and mood to improve how we learn, stay healthy, or even enjoy content like anime or books. "
7-13-2025 12:28:20,Government Engineering College Raipur ,20,Balod ,491226,65,,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects","My career goal is to grow as a skilled and adaptive IT professional who contributes to building innovative, secure, and scalable digital solutions.","I expect to deepen my technical knowledge, understand industry best practices, and gain exposure to tools and frameworks used in the field. I?m especially interested in learning how to solve real-world problems more efficiently and how to keep up with the latest trends in technology","Social Media Sentiment Analysis: Using Python and NLP libraries to analyze Twitter or Instagram data to see how people feel about a brand, event, or issue. It's realistic and can be built as a mini-project."
7-13-2025 12:29:09,Rungta College Of Engineering & Technology,21,Durg,490023,5,0.5,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",My career goal is to become a skilled data scientist who uses data-driven solutions to solve real-world problems and drive meaningful impact.,"I expect to enhance my data analytics and visualization skills, strengthen my logical thinking, and gain hands-on experience in solving real-world problems using data.","I?m most interested in the applications of data science in personalized learning and financial technology?for example, using data to recommend learning paths for students or provide smart budgeting insights, both of which can create a real impact in people?s lives, including my own."
7-13-2025 12:30:13,Shri Shankaracharya Technical campus,20,Durg,490023,6.8 km,30 min,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear",Never done coding in python. Done coding in other languages,My career goal is to become skilled so that in can solve real world problem .My long term vision is to contribute to innovative project to make data science benficial,I expect to gain clear concepts and implementation of python ,"My grandparents have health issues, to detect or track their health this data analysis record on which monitors their daily routine can help very much .This is the application of data science which can detect and also tells the disease priorly."
7-13-2025 12:40:14,chattishgarh swami vivekanand Technical University Bhilai,22,Bloda Bazar,493101,79.9,,,"Intermediate: can model some problems, solve some problems","Proficient: Used numpy, pandas, sklearn and made my own projects",specialize in a field that combines innovation and impact,,
7-13-2025 12:43:35,Shri Shankaracharya Technical Campus,20,Dhamtari,493773,2.5,2,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems",Never done coding in python. Done coding in other languages,DataScientist,Some basic skills that will further boost me in programming ,
7-13-2025 12:48:28,Rungta college of engineering and technology ,18,Bhilai,490001,10 kms,30 min,Appeared but didn't Qualify,"Beginner: can't understand how to model data with maths, concepts not clear","Proficient: Used numpy, pandas, sklearn and made my own projects",To get a high  paying job,To know all about data science and use it further,E commerce site it shows product on the based on our search history 
7-13-2025 12:48:53,Rungta college of engineering and technology ,21 years,Raigarh ,496001,5km,10-15min,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Careers goal is to become a data analyst and more tried to become a data scientist! ,Data analyst and more about the knowledge whats going on in a new technology! ,Climate & Environment ? Sustainability Analytics:- Sustainability analytics uses data science to drive environmentally conscious decisions and promote a greener future.
7-13-2025 12:49:16,"Chhattisgarh Swami Vivekanand Technical University, Bhilai ",21,Durg,490006,14.2 km,,Qualified JEE Mains,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects","My career goal is to become a successful Data Scientist and AI Engineer where I can apply my analytical skills, programming expertise, and knowledge of machine learning and deep learning to solve real-world problems.","I expect to gain a comprehensive understanding of the end-to-end data science workflow. This includes learning how to set up the development environment, load and preprocess data using tools like Pandas, and handle missing values and outliers effectively.",
7-13-2025 13:07:15,"Chhattisgarh Swami Vivekanand Technical University, Bhilai ",21,Durg ,490006,14.2km,,Qualified JEE Mains,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects","My career goal is to leverage my expertise in machine learning, deep learning and data-driven problem-solving to design and deploy intelligent systems that solve real-world  challenges ","I expect to gain a comprehensive understanding of the end-to-end data science workflow.This includes learning how to set up the development environment,load and preprocess data using tools like Pandas and handle missing values and outliers effectively.",
7-13-2025 13:07:47,Bhilai Institute of Technology Durg,21,Ambikapur,491007,360?km,6-7 hrs,Qualified JEE Mains,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",Sustainable Tech Strategist (To become a tech innovator focused on sustainability and smart systems.),"Having built a strong foundation in web development, I am now genuinely passionate about diving into AI and Machine Learning. I am attending this workshop not just to explore, but to strengthen my understanding and actively pursue AI/ML as the next major step in my tech journey, with long-term goals in this field.
"," Recommendation Systems (Netflix, Amazon, Spotify),  Transportation & Logistics (Route optimization (e.g., Google Maps, Uber)) and Business & Marketing(Predictive sales & demand forecasting)"
